Round,Team 1,Team 2,Pool,WIN
1,T1,TL,0-0,T1
1,C9,MAD,0-0,C9
1,GEN,GAM,0-0,GEN
1,JDG,BDS,0-0,JDG
1,G2,DK,0-0,G2
1,NRG,WBG,0-0,WBG
1,FNC,LNG,0-0,LNG
1,BLG,KT,0-0,BLG
2,C9,LNG,1-0,LNG
2,GEN,T1,1-0,GEN
2,G2,WBG,1-0,G2
2,JDG,BLG,1-0,JDG
2,MAD,BDS,0-1,MAD
2,FNC,GAM,0-1,FNC
2,NRG,TL,0-1,NRG
2,KT,DK,0-1,KT
3,JDG,LNG,2-0,JDG
3,G2,GEN,2-0,GEN
3,T1,C9,1-1,T1
3,NRG,MAD,1-1,NRG
3,BLG,FNC,1-1,BLG
3,KT,WBG,1-1,KT
3,TL,GAM,0-2,GAM
3,DK,BDS,0-2,DK
4,KT,LNG,2-1,LNG
4,NRG,G2,2-1,NRG
4,T1,BLG,2-1,T1
4,C9,FNC,1-2,FNC
4,MAD,WBG,1-2,WBG
4,DK,GAM,1-2,DK
5,KT,DK,2-2,KT
5,FNC,WBG,2-2,WBG
5,G2,BLG,2-2,BLG